scaffold position lg old_lg distance_min distance_max
HiC_scaffold_19 236283 19 10 0 0
HiC_scaffold_19 536312 19 10 0 4
HiC_scaffold_19 573667 19 10 0 3
HiC_scaffold_19 251682 19 10 0 3
HiC_scaffold_19 880507 19 10 4 4
HiC_scaffold_19 251993 19 10 0 4
HiC_scaffold_19 1127267 19 10 7 7
HiC_scaffold_19 1846503 19 10 7 7
HiC_scaffold_19 1846171 19 10 4 13
HiC_scaffold_19 1145576 19 10 7 7
HiC_scaffold_19 1758822 19 10 7 7
HiC_scaffold_19 992728 19 10 7 7
HiC_scaffold_19 1145546 19 10 13 13
HiC_scaffold_19 2326730 19 10 13 14
HiC_scaffold_19 2717293 19 10 14 17
HiC_scaffold_19 2675727 19 10 14 15
HiC_scaffold_19 2970190 19 10 16 17
HiC_scaffold_19 2717036 19 10 14 17
HiC_scaffold_19 3881328 19 10 17 19
HiC_scaffold_19 4756887 19 10 17 19
HiC_scaffold_19 3790028 19 10 17 19
HiC_scaffold_19 3807715 19 10 21 23
HiC_scaffold_19 3842281 19 10 17 23
HiC_scaffold_19 6029652 19 10 23 24
HiC_scaffold_19 6487567 19 10 24 27
HiC_scaffold_19 6742498 19 10 24 27
HiC_scaffold_19 6197447 19 10 23 27
HiC_scaffold_19 7243820 19 10 27 28
HiC_scaffold_19 7243579 19 10 27 28
HiC_scaffold_19 7539652 19 10 33 33
HiC_scaffold_19 10391949 19 10 33 37
HiC_scaffold_19 8391663 19 10 33 35
HiC_scaffold_19 9237681 19 10 33 45
HiC_scaffold_19 10393563 19 10 36 37
HiC_scaffold_19 10716974 19 10 33 37
HiC_scaffold_19 11512246 19 10 36 45
HiC_scaffold_19 9742331 19 10 33 37
HiC_scaffold_19 11198955 19 10 33 37
HiC_scaffold_19 9742393 19 10 33 37
HiC_scaffold_19 10780549 19 10 36 45
HiC_scaffold_19 10592825 19 10 36 37
HiC_scaffold_19 10391949 19 10 36 37
HiC_scaffold_19 9892814 19 10 36 37
HiC_scaffold_19 9661889 19 10 36 45
HiC_scaffold_19 10574096 19 10 37 37
HiC_scaffold_19 11512229 19 10 38 45
HiC_scaffold_19 11513541 19 10 38 45
HiC_scaffold_19 13306798 19 10 45 48
HiC_scaffold_19 13687934 19 10 48 52
HiC_scaffold_19 13688158 19 10 51 52
HiC_scaffold_31 779312 31 11 0 0
HiC_scaffold_31 779312 31 11 0 0
HiC_scaffold_31 779326 31 11 0 0
HiC_scaffold_31 1347078 31 11 2 3
HiC_scaffold_31 1142982 31 11 2 3
HiC_scaffold_31 1347207 31 11 2 3
HiC_scaffold_31 1297280 31 11 0 6
HiC_scaffold_31 1347511 31 11 0 6
HiC_scaffold_31 1174754 31 11 2 3
HiC_scaffold_31 1297604 31 11 3 3
HiC_scaffold_31 1534167 31 11 4 6
HiC_scaffold_31 1585708 31 11 2 6
HiC_scaffold_31 2242375 31 11 4 9
HiC_scaffold_31 1615883 31 11 4 6
HiC_scaffold_31 2083617 31 11 8 9
HiC_scaffold_31 2083520 31 11 8 9
HiC_scaffold_31 1098401 31 11 9 17
HiC_scaffold_31 3877037 31 11 17 20
HiC_scaffold_31 3660186 31 11 17 20
HiC_scaffold_31 5111880 31 11 20 21
HiC_scaffold_31 5111880 31 11 20 21
HiC_scaffold_31 5760449 31 11 19 27
HiC_scaffold_31 5212917 31 11 20 21
HiC_scaffold_31 5795868 31 11 20 22
HiC_scaffold_31 5529789 31 11 22 22
HiC_scaffold_31 5795769 31 11 22 22
HiC_scaffold_31 5529549 31 11 22 22
HiC_scaffold_31 7647736 31 11 27 27
HiC_scaffold_31 7496819 31 11 27 28
HiC_scaffold_31 7496696 31 11 27 28
HiC_scaffold_31 8864127 31 11 30 31
HiC_scaffold_31 8863944 31 11 30 30
HiC_scaffold_31 7916733 31 11 30 30
HiC_scaffold_31 7648302 31 11 27 35
HiC_scaffold_31 8336299 31 11 30 30
HiC_scaffold_13 7451057 31 11 30 30
HiC_scaffold_31 9716091 31 11 31 35
HiC_scaffold_31 10039663 31 11 31 36
HiC_scaffold_31 9811600 31 11 31 31
HiC_scaffold_31 8863980 31 11 30 31
HiC_scaffold_31 9786834 31 11 31 31
HiC_scaffold_31 9715794 31 11 31 31
HiC_scaffold_31 9965064 31 11 31 31
HiC_scaffold_31 10998577 31 11 32 35
HiC_scaffold_31 9536623 31 11 31 35
HiC_scaffold_31 10468309 31 11 32 35
HiC_scaffold_31 10727709 31 11 32 36
HiC_scaffold_31 10463771 31 11 32 35
HiC_scaffold_31 10797048 31 11 32 36
HiC_scaffold_31 10997401 31 11 35 36
HiC_scaffold_31 12838947 31 11 35 37
HiC_scaffold_31 12566862 31 11 36 37
HiC_scaffold_31 12750539 31 11 36 37
HiC_scaffold_31 12432491 31 11 36 37
HiC_scaffold_31 12068499 31 11 36 37
HiC_scaffold_31 13528569 31 11 38 43
HiC_scaffold_31 13449088 31 11 35 38
HiC_scaffold_31 11554315 31 11 43 43
HiC_scaffold_31 14515974 31 11 43 46
HiC_scaffold_31 14278010 31 11 43 46
HiC_scaffold_31 14278246 31 11 43 46
HiC_scaffold_31 14497826 31 11 43 46
HiC_scaffold_31 15917962 31 11 46 50
HiC_scaffold_31 14811156 31 11 46 50
HiC_scaffold_31 15205263 31 11 46 48
HiC_scaffold_31 14766133 31 11 46 48
HiC_scaffold_31 14930673 31 11 46 48
HiC_scaffold_31 15536556 31 11 49 50
HiC_scaffold_31 14811481 31 11 46 50
